participant_id,n_responses,duration_min,responses_per_s,reward_rate,switch_rate,n_blocks,n_perturbations,cod_blocked_share,reinforcers_withheld
sim-participant-001,4260,24.148666666666667,2.9401209176490073,0.17370892018779344,0.16384976525821596,38,8,0.2870892018779343,836
sim-participant-002,4260,24.279033333333334,2.924333890283935,0.1856807511737089,0.12065727699530517,38,8,0.2176056338028169,627
sim-participant-003,4260,27.787950000000002,2.5550643354403615,0.17699530516431924,0.31690140845070425,38,8,0.46619718309859154,1398
sim-participant-004,4260,28.3247,2.5066461427658546,0.16948356807511736,0.3572769953051643,38,8,0.4875586854460094,1510
sim-participant-005,4260,24.8294,2.8595133188880926,0.14366197183098592,0.34413145539906104,38,8,0.5286384976525822,1529
sim-participant-006,4260,37.37766666666666,1.8995300223841332,0.22816901408450704,0.02699530516431925,38,8,0.04835680751173709,158
sim-participant-007,4260,27.334316666666666,2.597467530131538,0.15352112676056337,0.38896713615023476,38,8,0.5546948356807512,1630
sim-participant-008,4260,24.993133333333333,2.840780267646847,0.18028169014084508,0.22511737089201878,38,8,0.3769953051643192,1089
sim-participant-009,4260,21.294966666666667,3.334121208611111,0.1551643192488263,0.09366197183098592,38,8,0.1880281690140845,556
sim-participant-010,4260,19.83605,3.5793416532021243,0.1495305164319249,0.10375586854460093,38,8,0.2084507042253521,576
sim-participant-011,4260,26.186899999999998,2.7112793037740244,0.19507042253521126,0.20821596244131454,38,8,0.3431924882629108,1017
sim-participant-012,4260,36.87831666666667,1.9252505650339247,0.16126760563380282,0.5032863849765258,38,8,0.6882629107981221,2176
sim-participant-013,4260,25.526516666666666,2.7814214108074546,0.168075117370892,0.2908450704225352,38,8,0.44553990610328637,1298
sim-participant-014,4260,22.547883333333335,3.148854327050654,0.1523474178403756,0.23380281690140844,38,8,0.4129107981220657,1154
sim-participant-015,4260,29.412816666666668,2.4139136623546764,0.231924882629108,0.1119718309859155,38,8,0.18192488262910797,573
sim-participant-016,4260,30.51738333333333,2.3265428501679097,0.22582159624413145,0.2,38,8,0.29413145539906105,906
sim-participant-017,4260,25.292366666666666,2.807171070059346,0.18943661971830986,0.12018779342723004,38,8,0.2192488262910798,668
sim-participant-018,4260,36.74185,1.9324013352621057,0.223943661971831,0.006338028169014085,38,8,0.01244131455399061,44
sim-participant-019,4260,22.900583333333334,3.100357705589741,0.1563380281690141,0.07112676056338028,38,8,0.14178403755868543,437
sim-participant-020,4260,22.423133333333332,3.166372823304504,0.17230046948356809,0.12441314553990611,38,8,0.23849765258215963,664
