participant_id,n_responses,duration_min,responses_per_s,reward_rate,switch_rate,n_blocks,n_perturbations,cod_blocked_share,reinforcers_withheld
sim-participant-001,3460,21.94268333333333,2.6280590113181237,0.10086705202312139,0.4950867052023121,30,8,0.7895953757225433,2039
sim-participant-002,3460,24.12305,2.3905213754755996,0.19248554913294796,0.10289017341040463,30,8,0.2338150289017341,610
sim-participant-003,3460,26.373316666666664,2.1865534545964707,0.22254335260115607,0.07890173410404624,30,8,0.17138728323699423,486
sim-participant-004,3460,29.29075,1.9687671591429605,0.23121387283236994,0.12745664739884394,30,8,0.2476878612716763,630
sim-participant-005,3460,31.300316666666667,1.8423668770124264,0.2277456647398844,0.11069364161849711,30,8,0.2130057803468208,561
sim-participant-006,3460,33.769866666666665,1.707636788616281,0.23034682080924856,0.05346820809248555,30,8,0.11271676300578035,341
sim-participant-007,3460,35.61336666666667,1.6192422133637088,0.273121387283237,0.10664739884393064,30,8,0.19104046242774567,491
sim-participant-008,3460,21.8141,2.643550119723787,0.1823699421965318,0.10491329479768786,30,8,0.24190751445086706,607
sim-participant-009,3460,24.78845,2.3263522594864408,0.2046242774566474,0.08554913294797688,30,8,0.18554913294797687,501
sim-participant-010,3460,26.64905,2.1639295459562975,0.20664739884393063,0.13872832369942195,30,8,0.28497109826589595,720
